	12
as	1
by	1
if	1
in	1
is	1
it	1
of	5
on	2
or	2
to	2
BIS	1
ENC	1
For	1
SSL	1
See	1
The	4
and	6
any	1
at:	2
for	3
has	1
may	1
our	2
see	1
the	8
you	1
(see	1
Core	1
This	1
U.S.	1
both	1
code	1
form	1
from	1
have	1
more	2
this	3
use,	2
uses	1
with	1
your	1
(TSU)	1
Jetty	1
about	1
check	1
code.	1
laws,	1
makes	1
under	1
using	2
visit	1
which	2
wiki,	1
(BIS),	1
(ECCN)	1
Apache	1
BEFORE	1
Bureau	1
Export	2
Hadoop	1
Number	1
and/or	1
export	1
latest	1
manner	1
object	1
please	2
reside	1
source	1
740.13)	1
Control	1
Hadoop,	1
License	1
Section	1
another	1
country	1
details	1
import,	2
project	1
website	1
written	1
Industry	1
Security	1
Software	2
country,	1
eligible	1
included	1
includes	2
policies	1
provides	1
security	1
software	2
Commerce,	1
Commodity	1
Exception	1
country's	1
currently	1
exception	1
following	1
functions	1
libraries	1
re-export	2
software,	2
software.	2
software:	1
5D002.C.1,	1
Department	1
Foundation	1
Government	1
Technology	1
asymmetric	1
classified	1
concerning	1
encryption	3
performing	1
permitted.	1
algorithms.	1
information	2
possession,	2
regulations	1
Regulations,	1
Unrestricted	1
distribution	2
information.	1
mortbay.org.	1
restrictions	1
cryptographic	3
Administration	1
<http://www.wassenaar.org/>	1
http://hadoop.apache.org/core/	1
http://wiki.apache.org/hadoop/	1
